event_id,latitude,longitude,event_date,trigger,category,landslide_occurrence,rainfall_1h,rainfall_3h,rainfall_6h,rainfall_12h,rainfall_24h,rainfall_3day,rainfall_7day
1054,26.8572,88.3143,2009-07-22,downpour,landslide,1,2.7,5.5,6.0,11.8,20.1,32.1,74.7
5122,25.7658,93.9413,2013-07-17,rain,mudslide,1,3.3,4.3,5.6,6.7,76.5,105.4,155.2
1061,27.478,88.527,2009-07-01,downpour,landslide,1,0.2,1.2,6.0,11.9,26.7,120.8,219.5
1055,26.8826,88.2788,2009-07-22,downpour,landslide,1,0.2,0.6,0.6,3.3,8.5,14.5,57.2
4571,27.6558,88.605,2012-09-19,downpour,landslide,1,1.4,4.7,10.0,12.4,13.8,104.8,286.3
9853,27.593,88.492,2016-08-16,rain,landslide,1,0.4,1.9,4.4,12.7,20.4,47.6,122.0
9965,26.324724,94.514651,2016-09-05,rain,landslide,1,0.2,0.2,1.1,8.6,23.9,66.7,126.9
2164,25.3098633,94.48214677,2010-07-29,downpour,landslide,1,0.0,0.0,0.0,0.8,27.7,42.9,125.3
9966,26.092493,94.257523,2016-09-05,rain,landslide,1,0.4,1.9,3.3,13.1,15.4,46.2,74.7
4569,27.8385,88.556,2012-09-19,downpour,landslide,1,1.2,5.0,8.8,10.1,12.7,79.7,179.0
5123,25.7131,94.0885,2013-07-17,rain,mudslide,1,3.3,4.3,5.6,6.7,76.5,105.4,155.2
9984,26.1445447,94.24416766,2017-07-01,downpour,landslide,1,0.5,1.4,3.9,13.5,19.3,38.1,87.2
9972,26.22247247,91.92053028,2017-07-03,continuous_rain,landslide,1,1.4,4.6,17.7,23.4,30.8,209.8,300.9
9940,26.20450454,91.87202793,2017-07-03,continuous_rain,landslide,1,0.9,7.0,15.2,18.3,25.0,148.6,211.4
9941,22.77997113,92.03513581,2017-07-02,continuous_rain,landslide,1,0.5,3.8,5.3,10.4,14.5,31.6,43.4
9952,26.10430759,91.86227824,2017-07-03,downpour,landslide,1,0.6,6.5,9.3,18.9,22.3,161.2,266.3
9974,25.4976444,94.12901274,2017-07-04,continuous_rain,landslide,1,3.5,10.6,17.8,18.4,19.4,54.1,113.6
9943,22.35037081,91.83258101,2017-06-13,continuous_rain,landslide,1,1.5,3.8,12.2,37.1,105.4,201.2,209.5
9942,22.74955141,92.22099982,2017-06-13,continuous_rain,landslide,1,0.2,1.5,8.6,28.4,97.3,184.2,216.9
9951,26.1061808,91.85158907,2017-07-03,downpour,landslide,1,0.6,6.5,9.3,18.9,22.3,161.2,266.3
9983,26.11613908,94.24222574,2017-07-01,continuous_rain,landslide,1,1.4,4.0,6.1,13.2,17.8,53.2,100.9
9998,27.98531715,94.21263589,2017-07-04,rain,landslide,1,0.2,1.5,4.1,10.4,20.5,91.5,300.3
9699,22.80452414,91.91261915,2017-06-13,downpour,landslide,1,0.8,1.6,4.0,23.9,110.4,204.0,233.7
9750,25.15246863,92.94670614,2017-06-04,continuous_rain,landslide,1,0.0,3.9,20.7,88.0,108.5,132.8,317.5
9993,27.97875751,94.26296826,2017-07-04,rain,landslide,1,0.2,1.5,4.1,10.4,20.5,91.5,300.3
9771,22.65620215,93.61589869,2017-05-29,continuous_rain,landslide,1,1.1,2.5,11.5,26.3,33.1,71.5,74.6
9877,24.21988831,93.20266204,2017-06-26,downpour,landslide,1,0.7,1.8,3.5,5.6,21.0,54.6,92.3
9746,23.19807165,94.29816252,2017-06-05,unknown,rock_fall,1,0.0,0.0,0.0,0.0,0.0,0.0,93.9
9982,26.3312531,94.55427723,2017-07-01,downpour,landslide,1,0.5,2.3,4.2,11.6,20.9,75.3,169.0
9829,27.06992579,93.6146564,2017-06-19,unknown,landslide,1,0.3,1.1,2.1,2.5,5.8,104.8,258.4
9994,27.02149311,88.25902123,2017-07-06,continuous_rain,landslide,1,0.6,1.6,2.8,4.9,9.9,52.0,202.9
9741,26.9653186,88.2667225,2017-06-05,rain,landslide,1,0.4,9.1,15.8,42.8,60.6,84.5,138.3
9989,23.69461107,92.87641207,2017-06-28,other,landslide,1,4.5,8.8,14.8,15.6,17.4,43.8,84.8
9976,26.90298048,88.29518925,2017-07-05,continuous_rain,landslide,1,0.0,0.0,0.4,5.4,21.1,51.6,193.9
9733,23.86469956,91.8949662,2017-06-03,continuous_rain,landslide,1,0.1,0.8,2.7,3.2,4.7,21.8,111.9
9721,22.59420297,92.16404889,2017-06-12,rain,landslide,1,5.1,13.9,34.4,71.0,86.1,103.9,124.8
9869,26.88161,95.399897,2016-08-16,other,landslide,1,0.2,0.6,0.6,3.8,22.4,31.3,69.0
9876,24.30415689,93.18182448,2017-06-27,downpour,landslide,1,0.5,2.5,6.3,11.5,15.8,56.0,92.0
9697,22.65242372,92.15898865,2017-06-13,downpour,landslide,1,0.3,1.0,2.5,19.3,92.0,184.3,217.9
9701,22.80452414,91.91261915,2017-06-13,downpour,landslide,1,0.8,1.6,4.0,23.9,110.4,204.0,233.7
9703,22.44394492,91.97239273,2017-06-13,downpour,landslide,1,0.6,1.5,4.5,24.9,88.8,188.3,207.4
9743,27.05909317,93.54235868,2017-06-04,unknown,landslide,1,0.1,0.3,0.5,22.4,74.8,101.9,175.8
9742,25.67061161,94.11844319,2017-06-02,continuous_rain,landslide,1,0.5,0.6,0.7,4.2,11.2,105.8,167.1
9834,27.05880384,93.54136779,2017-06-21,rain,landslide,1,0.0,0.7,2.0,3.1,5.6,18.4,130.9
9875,24.32420539,93.15020652,2017-06-26,downpour,landslide,1,0.7,1.8,3.5,5.6,21.0,54.6,92.3
9745,24.19467451,91.82931979,2017-06-03,rain,landslide,1,0.4,0.7,2.6,4.5,7.4,44.9,145.1
9712,23.73354779,92.74744512,2017-06-10,rain,landslide,1,0.0,0.0,0.0,0.7,23.9,50.3,63.3
9715,22.59420297,92.16404889,2017-06-12,rain,landslide,1,5.1,13.9,34.4,71.0,86.1,103.9,124.8
9704,25.11956675,94.36416626,2017-06-12,continuous_rain,mudslide,1,2.7,8.7,14.3,16.7,37.0,46.3,53.7
9698,22.65242372,92.15898865,2017-06-13,downpour,landslide,1,0.3,1.0,2.5,19.3,92.0,184.3,217.9
9789,25.907233,91.881892,2017-05-26,rain,landslide,1,0.0,4.3,4.7,5.1,5.8,17.1,26.3
9785,27.54295099,88.59676956,2017-05-26,rain,landslide,1,1.6,2.3,3.4,5.2,8.5,26.2,73.7
9934,27.01145644,92.64204045,2017-07-01,continuous_rain,landslide,1,0.9,3.7,14.3,49.1,66.2,105.9,224.7
9904,25.660517,94.104931,2016-08-25,rain,mudslide,1,0.5,2.2,3.3,3.6,3.6,9.5,36.5
9917,24.768609,92.821182,2016-09-01,flooding,landslide,1,1.6,2.9,8.0,13.0,19.4,39.8,83.8
9931,25.06657276,93.9310888,2017-06-30,downpour,landslide,1,0.3,1.4,2.0,4.7,8.5,26.5,53.2
9933,27.04768643,93.61899644,2017-06-30,downpour,landslide,1,0.9,2.3,8.1,12.5,15.0,28.1,71.0
9770,23.73941422,92.71505961,2017-06-01,tropical_cyclone,landslide,1,1.1,2.5,3.0,3.7,6.1,68.5,116.9
9932,27.10647226,93.65975252,2017-07-01,downpour,landslide,1,0.2,1.4,5.3,17.1,51.2,102.5,162.3
9797,27.769793,93.50995626,2017-05-24,rain,mudslide,1,1.8,6.2,10.6,15.2,29.4,73.4,203.1
9935,27.08168565,93.60815652,2017-07-01,continuous_rain,landslide,1,0.2,1.5,7.0,20.1,43.9,65.5,114.2
9948,24.95178179,94.20340026,2017-07-01,rain,landslide,1,0.8,2.5,3.6,4.3,8.6,28.7,59.8
9949,26.10035658,91.87351723,2017-07-03,downpour,landslide,1,0.6,6.5,9.3,18.9,22.3,161.2,266.3
10004,26.14547804,91.79364785,2017-07-10,continuous_rain,landslide,1,1.0,3.1,8.7,15.7,24.3,89.6,241.9
5084,25.616,94.1167,2013-07-12,downpour,landslide,1,0.3,1.4,1.5,4.3,27.7,44.4,91.0
2312,27.5,90.5034,2010-08-23,downpour,landslide,1,8.5,14.5,17.2,18.6,30.5,128.1,269.6
1050,26.87324244,88.29184021,2009-07-03,rain,landslide,1,0.2,0.6,3.0,18.1,61.1,139.1,388.8
311,22.5333,89.4,2007-10-15,rain,mudslide,1,1.0,1.9,2.2,5.6,13.3,16.7,168.8
3986,27.0605,88.255,2011-09-25,downpour,landslide,1,0.3,2.0,4.3,9.1,25.9,44.3,104.4
2566,25.4769,94.1351,2010-10-08,downpour,mudslide,1,0.6,1.6,2.9,8.2,22.6,54.9,83.1
7370,24.1419,94.1078,2015-08-01,continuous_rain,landslide,1,7.2,25.6,51.5,72.0,164.5,330.8,493.5
1961,25.8833,91.2,2010-06-09,downpour,landslide,1,0.3,0.8,3.9,27.1,37.5,53.9,175.1
1109,25.5215,93.1645,2009-08-20,downpour,landslide,1,0.3,0.3,0.3,0.4,3.7,7.5,102.2
2578,25.3179,94.0462,2010-10-09,downpour,landslide,1,1.9,8.1,12.6,19.7,29.5,65.9,78.1
595,26.885,88.2778,2008-06-20,rain,landslide,1,0.5,0.7,0.8,2.0,47.4,99.8,228.8
322,24.75,93.4333,2007-10-21,rain,landslide,1,0.3,0.9,0.9,4.9,11.1,17.5,75.5
2117,27.8122,89.9019,2010-07-22,downpour,landslide,1,1.0,2.0,3.0,8.7,19.9,88.6,162.7
5552,25.0985,94.3619,2013-09-24,unknown,landslide,1,0.0,0.0,0.1,0.9,1.5,2.8,11.2
3621,26.88,88.28,2011-06-17,downpour,mudslide,1,1.9,1.9,2.5,4.6,5.5,19.4,60.9
