event_id,latitude,longitude,event_date,soil_moisture_0_7cm,soil_moisture_7_28cm,landslide_occurrence
1054,26.8572,88.3143,2009-07-22,0.428,0.419,1
5122,25.7658,93.9413,2013-07-17,0.493,0.502,1
1061,27.478,88.527,2009-07-01,0.425,0.431,1
1055,26.8826,88.2788,2009-07-22,0.399,0.396,1
4571,27.6558,88.605,2012-09-19,0.43,0.412,1
9853,27.593,88.492,2016-08-16,0.424,0.424,1
9965,26.324724,94.514651,2016-09-05,0.498,0.505,1
2164,25.3098633,94.48214677,2010-07-29,0.444,0.451,1
9966,26.092493,94.257523,2016-09-05,0.502,0.507,1
4569,27.8385,88.556,2012-09-19,0.426,0.427,1
5123,25.7131,94.0885,2013-07-17,0.493,0.502,1
9984,26.1445447,94.24416766,2017-07-01,0.507,0.511,1
9972,26.22247247,91.92053028,2017-07-03,0.517,0.516,1
9940,26.20450454,91.87202793,2017-07-03,0.508,0.512,1
9941,22.77997113,92.03513581,2017-07-02,0.427,0.426,1
9952,26.10430759,91.86227824,2017-07-03,0.515,0.518,1
9974,25.4976444,94.12901274,2017-07-04,0.498,0.516,1
9943,22.35037081,91.83258101,2017-06-13,0.281,0.281,1
9942,22.74955141,92.22099982,2017-06-13,0.427,0.428,1
9951,26.1061808,91.85158907,2017-07-03,0.515,0.518,1
9983,26.11613908,94.24222574,2017-07-01,0.503,0.511,1
9998,27.98531715,94.21263589,2017-07-04,0.427,0.427,1
9699,22.80452414,91.91261915,2017-06-13,0.428,0.427,1
9750,25.15246863,92.94670614,2017-06-04,0.498,0.513,1
9993,27.97875751,94.26296826,2017-07-04,0.427,0.427,1
9771,22.65620215,93.61589869,2017-05-29,0.41,0.361,1
9877,24.21988831,93.20266204,2017-06-26,0.421,0.426,1
9746,23.19807165,94.29816252,2017-06-05,0.328,0.339,1
9982,26.3312531,94.55427723,2017-07-01,0.512,0.509,1
9829,27.06992579,93.6146564,2017-06-19,0.506,0.496,1
9994,27.02149311,88.25902123,2017-07-06,0.42,0.421,1
9741,26.9653186,88.2667225,2017-06-05,0.42,0.422,1
9989,23.69461107,92.87641207,2017-06-28,0.427,0.424,1
9976,26.90298048,88.29518925,2017-07-05,0.416,0.419,1
9733,23.86469956,91.8949662,2017-06-03,0.408,0.399,1
9721,22.59420297,92.16404889,2017-06-12,0.43,0.428,1
9869,26.88161,95.399897,2016-08-16,0.474,0.484,1
9876,24.30415689,93.18182448,2017-06-27,0.428,0.421,1
9697,22.65242372,92.15898865,2017-06-13,0.428,0.427,1
9701,22.80452414,91.91261915,2017-06-13,0.428,0.427,1
9703,22.44394492,91.97239273,2017-06-13,0.428,0.423,1
9743,27.05909317,93.54235868,2017-06-04,0.485,0.482,1
9742,25.67061161,94.11844319,2017-06-02,0.493,0.5,1
9834,27.05880384,93.54136779,2017-06-21,0.488,0.496,1
9875,24.32420539,93.15020652,2017-06-26,0.421,0.426,1
9745,24.19467451,91.82931979,2017-06-03,0.419,0.422,1
9712,23.73354779,92.74744512,2017-06-10,0.425,0.411,1
9715,22.59420297,92.16404889,2017-06-12,0.43,0.428,1
9704,25.11956675,94.36416626,2017-06-12,0.456,0.455,1
9698,22.65242372,92.15898865,2017-06-13,0.428,0.427,1
9789,25.907233,91.881892,2017-05-26,0.454,0.379,1
9785,27.54295099,88.59676956,2017-05-26,0.416,0.411,1
9934,27.01145644,92.64204045,2017-07-01,0.476,0.471,1
9904,25.660517,94.104931,2016-08-25,0.51,0.479,1
9917,24.768609,92.821182,2016-09-01,0.47,0.471,1
9931,25.06657276,93.9310888,2017-06-30,0.435,0.435,1
9933,27.04768643,93.61899644,2017-06-30,0.504,0.515,1
9770,23.73941422,92.71505961,2017-06-01,0.405,0.393,1
9932,27.10647226,93.65975252,2017-07-01,0.507,0.508,1
9797,27.769793,93.50995626,2017-05-24,0.429,0.427,1
9935,27.08168565,93.60815652,2017-07-01,0.51,0.508,1
9948,24.95178179,94.20340026,2017-07-01,0.446,0.441,1
9949,26.10035658,91.87351723,2017-07-03,0.515,0.518,1
10004,26.14547804,91.79364785,2017-07-10,0.498,0.516,1
5084,25.616,94.1167,2013-07-12,0.469,0.471,1
2312,27.5,90.5034,2010-08-23,0.43,0.429,1
1050,26.87324244,88.29184021,2009-07-03,0.421,0.426,1
311,22.5333,89.4,2007-10-15,0.493,0.482,1
3986,27.0605,88.255,2011-09-25,0.426,0.427,1
2566,25.4769,94.1351,2010-10-08,0.511,0.51,1
7370,24.1419,94.1078,2015-08-01,0.47,0.47,1
1961,25.8833,91.2,2010-06-09,0.501,0.499,1
1109,25.5215,93.1645,2009-08-20,0.464,0.465,1
2578,25.3179,94.0462,2010-10-09,0.459,0.459,1
595,26.885,88.2778,2008-06-20,0.418,0.42,1
322,24.75,93.4333,2007-10-21,0.417,0.415,1
2117,27.8122,89.9019,2010-07-22,0.429,0.427,1
5552,25.0985,94.3619,2013-09-24,0.392,0.395,1
3621,26.88,88.28,2011-06-17,0.413,0.406,1
1993,26.8073,88.3162,2010-06-16,0.427,0.406,1
6020,24.5784,91.7227,2014-05-10,0.416,0.418,1
5834,22.3475,91.8123,2014-02-03,0.106,0.141,1
7031,27.6163,88.6586,2015-05-24,0.413,0.419,1
9073,22.1306,95.5488,2015-12-17,0.299,0.324,1
57,27.4459,88.6193,2007-04-11,0.412,0.415,1
147,22.533,92.899,2007-07-30,0.397,0.402,1
1611,25.1553,93.028,2010-04-01,0.498,0.506,1
2025,25.5728,91.885,2010-06-28,0.509,0.514,1
5343,24.7625,93.4341,2013-08-17,0.429,0.425,1
6971,27.0987,93.816,2015-06-09,0.507,0.511,1
9405,26.7223,95.0243,2016-04-19,0.509,0.499,1
4382,25.1175,92.8573,2012-06-03,0.514,0.5,1
1112,27.1761,88.5287,2009-08-20,0.423,0.428,1
5431,24.9829,93.5063,2013-09-01,0.421,0.427,1
78,27.3383,88.6069,2007-05-23,0.355,0.278,1
2253,25.31006064,94.48265093,2010-08-15,0.45,0.451,1
9119,26.0746,97.3668,2015-12-25,0.418,0.426,1
3997,27.5161,88.5575,2011-09-30,0.386,0.386,1
2424,23.591,92.9296,2010-09-13,0.424,0.425,1
3672,25.5125,93.3613,2011-06-29,0.476,0.472,1
1108,24.9925,93.5,2009-08-20,0.432,0.433,1
6105,28.9205,95.3429,2014-06-26,0.411,0.414,1
9168,27.6438,93.871,2016-06-12,0.415,0.419,1
7021,27.0076,88.251,2015-06-27,0.42,0.42,1
2555,22.6461,97.3193,2010-10-06,0.439,0.45,1
8012,25.9703,91.8584,2015-09-06,0.503,0.508,1
7335,25.5145,90.2023,2015-08-18,0.503,0.502,1
587,27.2298,94.0989,2008-06-15,0.442,0.448,1
6019,24.4136,91.7561,2014-05-10,0.416,0.418,1
3560,24.8286,93.5935,2011-05-31,0.427,0.427,1
3804,23.7118,90.4077,2011-07-19,0.432,0.419,1
141,25.38,91.88,2007-07-26,0.505,0.518,1
3983,26.1548,91.7351,2011-09-23,0.505,0.494,1
148,22.479,92.967,2007-07-30,0.397,0.402,1
1775,27.8965,96.1779,2010-04-21,0.51,0.507,1
1094,27.15977181,88.63411246,2009-08-16,0.433,0.439,1
3663,25.6682,94.1099,2011-06-28,0.51,0.515,1
