zone_id,latitude,longitude,elevation,slope,aspect,curvature,data_source
Z_22.0_88.0,22.0,88.0,3,0.61,147.8,1e-06,open-elevation + DEM-derived
Z_22.0_88.5,22.0,88.5,1,0.52,180.2,1e-06,open-elevation + DEM-derived
Z_22.0_89.0,22.0,89.0,6,0.52,179.9,1e-06,open-elevation + DEM-derived
Z_22.0_89.5,22.0,89.5,0,0.51,179.9,1e-06,open-elevation + DEM-derived
Z_22.0_90.0,22.0,90.0,5,0.52,180.4,1e-06,open-elevation + DEM-derived
Z_22.0_90.5,22.0,90.5,5,0.52,179.6,1e-06,open-elevation + DEM-derived
Z_22.0_91.0,22.0,91.0,0,0.52,179.6,1e-06,open-elevation + DEM-derived
Z_22.0_91.5,22.0,91.5,0,0.52,182.6,1e-06,open-elevation + DEM-derived
Z_22.0_92.0,22.0,92.0,36,0.66,222.2,1e-06,open-elevation + DEM-derived
Z_22.0_92.5,22.0,92.5,677,0.79,251.9,-1e-06,open-elevation + DEM-derived
Z_22.0_93.0,22.0,93.0,1196,0.98,300.3,-1e-06,open-elevation + DEM-derived
Z_22.0_93.5,22.0,93.5,1971,1.87,16.4,-5e-06,open-elevation + DEM-derived
Z_22.0_94.0,22.0,94.0,386,1.14,95.3,2e-06,open-elevation + DEM-derived
Z_22.0_94.5,22.0,94.5,231,0.31,148.4,0.0,open-elevation + DEM-derived
Z_22.0_95.0,22.0,95.0,139,0.4,167.1,1e-06,open-elevation + DEM-derived
Z_22.0_95.5,22.0,95.5,95,0.42,179.9,1e-06,open-elevation + DEM-derived
Z_22.0_96.0,22.0,96.0,138,0.81,236.4,2e-06,open-elevation + DEM-derived
Z_22.0_96.5,22.0,96.5,1128,0.64,333.4,-3e-06,open-elevation + DEM-derived
Z_22.0_97.0,22.0,97.0,577,0.41,29.2,1e-06,open-elevation + DEM-derived
Z_22.0_97.5,22.0,97.5,824,0.33,8.7,-1e-06,open-elevation + DEM-derived
Z_22.5_88.0,22.5,88.0,5,0.32,87.0,1e-06,open-elevation + DEM-derived
Z_22.5_88.5,22.5,88.5,4,0.01,3.6,0.0,open-elevation + DEM-derived
Z_22.5_89.0,22.5,89.0,4,0.01,348.2,0.0,open-elevation + DEM-derived
Z_22.5_89.5,22.5,89.5,6,0.0,39.8,-0.0,open-elevation + DEM-derived
Z_22.5_90.0,22.5,90.0,0,0.0,118.1,0.0,open-elevation + DEM-derived
Z_22.5_90.5,22.5,90.5,3,0.0,180.0,-0.0,open-elevation + DEM-derived
Z_22.5_91.0,22.5,91.0,0,0.01,345.0,0.0,open-elevation + DEM-derived
Z_22.5_91.5,22.5,91.5,6,0.02,285.8,0.0,open-elevation + DEM-derived
Z_22.5_92.0,22.5,92.0,34,0.17,276.7,0.0,open-elevation + DEM-derived
Z_22.5_92.5,22.5,92.5,263,0.83,227.1,1e-06,open-elevation + DEM-derived
Z_22.5_93.0,22.5,93.0,972,1.28,266.4,1e-06,open-elevation + DEM-derived
Z_22.5_93.5,22.5,93.5,2221,0.37,85.0,-5e-06,open-elevation + DEM-derived
Z_22.5_94.0,22.5,94.0,400,1.31,101.0,2e-06,open-elevation + DEM-derived
Z_22.5_94.5,22.5,94.5,249,0.18,87.0,0.0,open-elevation + DEM-derived
Z_22.5_95.0,22.5,95.0,129,0.19,32.5,0.0,open-elevation + DEM-derived
Z_22.5_95.5,22.5,95.5,93,0.05,49.5,0.0,open-elevation + DEM-derived
Z_22.5_96.0,22.5,96.0,71,0.62,270.3,2e-06,open-elevation + DEM-derived
Z_22.5_96.5,22.5,96.5,1047,0.69,313.5,-1e-06,open-elevation + DEM-derived
Z_22.5_97.0,22.5,97.0,840,0.43,20.4,0.0,open-elevation + DEM-derived
Z_22.5_97.5,22.5,97.5,815,0.24,113.4,-0.0,open-elevation + DEM-derived
Z_23.0_88.0,23.0,88.0,19,0.32,85.9,1e-06,open-elevation + DEM-derived
Z_23.0_88.5,23.0,88.5,11,0.01,28.7,0.0,open-elevation + DEM-derived
Z_23.0_89.0,23.0,89.0,12,0.01,35.5,-0.0,open-elevation + DEM-derived
Z_23.0_89.5,23.0,89.5,3,0.01,68.2,0.0,open-elevation + DEM-derived
Z_23.0_90.0,23.0,90.0,4,0.01,5.1,-0.0,open-elevation + DEM-derived
Z_23.0_90.5,23.0,90.5,2,0.0,328.0,0.0,open-elevation + DEM-derived
Z_23.0_91.0,23.0,91.0,7,0.01,344.5,-0.0,open-elevation + DEM-derived
Z_23.0_91.5,23.0,91.5,6,0.05,319.4,0.0,open-elevation + DEM-derived
Z_23.0_92.0,23.0,92.0,55,0.11,308.9,0.0,open-elevation + DEM-derived
Z_23.0_92.5,23.0,92.5,133,0.86,306.2,2e-06,open-elevation + DEM-derived
Z_23.0_93.0,23.0,93.0,1118,1.24,258.6,-1e-06,open-elevation + DEM-derived
Z_23.0_93.5,23.0,93.5,2002,1.04,142.6,-4e-06,open-elevation + DEM-derived
Z_23.0_94.0,23.0,94.0,147,1.17,100.5,3e-06,open-elevation + DEM-derived
Z_23.0_94.5,23.0,94.5,240,0.1,290.0,0.0,open-elevation + DEM-derived
Z_23.0_95.0,23.0,95.0,292,0.31,13.9,-0.0,open-elevation + DEM-derived
Z_23.0_95.5,23.0,95.5,126,0.13,49.0,0.0,open-elevation + DEM-derived
Z_23.0_96.0,23.0,96.0,141,0.95,270.5,2e-06,open-elevation + DEM-derived
Z_23.0_96.5,23.0,96.5,1584,1.04,211.0,-5e-06,open-elevation + DEM-derived
Z_23.0_97.0,23.0,97.0,967,0.78,134.4,-1e-06,open-elevation + DEM-derived
Z_23.0_97.5,23.0,97.5,732,0.48,39.7,1e-06,open-elevation + DEM-derived
Z_23.5_88.0,23.5,88.0,27,0.32,88.9,1e-06,open-elevation + DEM-derived
Z_23.5_88.5,23.5,88.5,12,0.01,55.0,0.0,open-elevation + DEM-derived
Z_23.5_89.0,23.5,89.0,11,0.0,68.2,0.0,open-elevation + DEM-derived
Z_23.5_89.5,23.5,89.5,8,0.01,14.0,0.0,open-elevation + DEM-derived
Z_23.5_90.0,23.5,90.0,7,0.0,17.4,-0.0,open-elevation + DEM-derived
Z_23.5_90.5,23.5,90.5,6,0.0,337.4,-0.0,open-elevation + DEM-derived
Z_23.5_91.0,23.5,91.0,9,0.02,272.6,0.0,open-elevation + DEM-derived
Z_23.5_91.5,23.5,91.5,41,0.13,333.0,0.0,open-elevation + DEM-derived
Z_23.5_92.0,23.5,92.0,98,0.46,271.9,1e-06,open-elevation + DEM-derived
Z_23.5_92.5,23.5,92.5,750,0.75,326.3,-2e-06,open-elevation + DEM-derived
Z_23.5_93.0,23.5,93.0,737,0.89,209.6,1e-06,open-elevation + DEM-derived
Z_23.5_93.5,23.5,93.5,1427,1.08,160.9,-2e-06,open-elevation + DEM-derived
Z_23.5_94.0,23.5,94.0,195,1.2,38.5,3e-06,open-elevation + DEM-derived
Z_23.5_94.5,23.5,94.5,282,0.41,339.6,0.0,open-elevation + DEM-derived
Z_23.5_95.0,23.5,95.0,417,0.1,47.2,-1e-06,open-elevation + DEM-derived
Z_23.5_95.5,23.5,95.5,175,0.32,43.1,0.0,open-elevation + DEM-derived
Z_23.5_96.0,23.5,96.0,79,0.02,325.9,0.0,open-elevation + DEM-derived
Z_23.5_96.5,23.5,96.5,188,1.55,185.8,2e-06,open-elevation + DEM-derived
Z_23.5_97.0,23.5,97.0,319,1.07,216.6,2e-06,open-elevation + DEM-derived
Z_23.5_97.5,23.5,97.5,1167,0.76,351.0,-2e-06,open-elevation + DEM-derived
Z_24.0_88.0,24.0,88.0,25,0.31,91.0,1e-06,open-elevation + DEM-derived
Z_24.0_88.5,24.0,88.5,18,0.01,32.0,0.0,open-elevation + DEM-derived
Z_24.0_89.0,24.0,89.0,13,0.0,72.3,0.0,open-elevation + DEM-derived
Z_24.0_89.5,24.0,89.5,13,0.01,27.5,-0.0,open-elevation + DEM-derived
Z_24.0_90.0,24.0,90.0,8,0.02,12.3,0.0,open-elevation + DEM-derived
Z_24.0_90.5,24.0,90.5,5,0.01,0.0,0.0,open-elevation + DEM-derived
Z_24.0_91.0,24.0,91.0,8,0.07,270.8,0.0,open-elevation + DEM-derived
Z_24.0_91.5,24.0,91.5,115,0.05,231.3,-0.0,open-elevation + DEM-derived
Z_24.0_92.0,24.0,92.0,70,0.41,257.8,1e-06,open-elevation + DEM-derived
Z_24.0_92.5,24.0,92.5,731,0.73,195.7,-2e-06,open-elevation + DEM-derived
Z_24.0_93.0,24.0,93.0,374,0.4,208.3,2e-06,open-elevation + DEM-derived
Z_24.0_93.5,24.0,93.5,1021,1.01,205.8,-1e-06,open-elevation + DEM-derived
Z_24.0_94.0,24.0,94.0,1048,0.67,23.5,-2e-06,open-elevation + DEM-derived
Z_24.0_94.5,24.0,94.5,613,0.46,102.0,-1e-06,open-elevation + DEM-derived
Z_24.0_95.0,24.0,95.0,354,0.3,145.2,0.0,open-elevation + DEM-derived
Z_24.0_95.5,24.0,95.5,352,0.16,53.5,-1e-06,open-elevation + DEM-derived
Z_24.0_96.0,24.0,96.0,153,0.31,31.2,0.0,open-elevation + DEM-derived
Z_24.0_96.5,24.0,96.5,102,0.04,169.7,0.0,open-elevation + DEM-derived
Z_24.0_97.0,24.0,97.0,142,0.98,297.0,3e-06,open-elevation + DEM-derived
Z_24.0_97.5,24.0,97.5,1449,0.34,223.1,-4e-06,open-elevation + DEM-derived
Z_24.5_88.0,24.5,88.0,22,0.31,89.2,1e-06,open-elevation + DEM-derived
Z_24.5_88.5,24.5,88.5,24,0.01,34.8,-0.0,open-elevation + DEM-derived
Z_24.5_89.0,24.5,89.0,12,0.01,38.0,0.0,open-elevation + DEM-derived
Z_24.5_89.5,24.5,89.5,14,0.01,298.1,0.0,open-elevation + DEM-derived
Z_24.5_90.0,24.5,90.0,30,0.01,7.6,-0.0,open-elevation + DEM-derived
Z_24.5_90.5,24.5,90.5,11,0.01,64.4,0.0,open-elevation + DEM-derived
Z_24.5_91.0,24.5,91.0,10,0.0,168.2,-0.0,open-elevation + DEM-derived
Z_24.5_91.5,24.5,91.5,10,0.11,181.7,0.0,open-elevation + DEM-derived
Z_24.5_92.0,24.5,92.0,15,0.07,217.0,0.0,open-elevation + DEM-derived
Z_24.5_92.5,24.5,92.5,75,0.76,199.2,1e-06,open-elevation + DEM-derived
Z_24.5_93.0,24.5,93.0,400,0.35,297.7,-0.0,open-elevation + DEM-derived
Z_24.5_93.5,24.5,93.5,556,0.25,271.0,1e-06,open-elevation + DEM-derived
Z_24.5_94.0,24.5,94.0,781,0.33,133.4,-1e-06,open-elevation + DEM-derived
Z_24.5_94.5,24.5,94.5,190,0.67,35.8,3e-06,open-elevation + DEM-derived
Z_24.5_95.0,24.5,95.0,182,0.24,192.3,0.0,open-elevation + DEM-derived
Z_24.5_95.5,24.5,95.5,268,0.2,209.7,-0.0,open-elevation + DEM-derived
Z_24.5_96.0,24.5,96.0,337,0.18,25.2,-1e-06,open-elevation + DEM-derived
Z_24.5_96.5,24.5,96.5,150,0.29,293.0,1e-06,open-elevation + DEM-derived
Z_24.5_97.0,24.5,97.0,748,0.51,272.6,-2e-06,open-elevation + DEM-derived
Z_24.5_97.5,24.5,97.5,928,1.34,173.1,-1e-06,open-elevation + DEM-derived
Z_25.0_88.0,25.0,88.0,29,0.31,87.9,1e-06,open-elevation + DEM-derived
Z_25.0_88.5,25.0,88.5,27,0.01,35.5,-0.0,open-elevation + DEM-derived
Z_25.0_89.0,25.0,89.0,21,0.02,13.4,0.0,open-elevation + DEM-derived
Z_25.0_89.5,25.0,89.5,19,0.01,356.4,0.0,open-elevation + DEM-derived
Z_25.0_90.0,25.0,90.0,22,0.04,7.0,0.0,open-elevation + DEM-derived
Z_25.0_90.5,25.0,90.5,11,0.44,1.4,1e-06,open-elevation + DEM-derived
Z_25.0_91.0,25.0,91.0,5,0.7,0.1,1e-06,open-elevation + DEM-derived
Z_25.0_91.5,25.0,91.5,10,1.71,359.8,2e-06,open-elevation + DEM-derived
Z_25.0_92.0,25.0,92.0,16,1.63,359.3,2e-06,open-elevation + DEM-derived
Z_25.0_92.5,25.0,92.5,39,1.09,342.1,2e-06,open-elevation + DEM-derived
Z_25.0_93.0,25.0,93.0,532,0.69,249.5,-1e-06,open-elevation + DEM-derived
Z_25.0_93.5,25.0,93.5,1025,0.2,261.2,-2e-06,open-elevation + DEM-derived
Z_25.0_94.0,25.0,94.0,832,0.77,354.8,1e-06,open-elevation + DEM-derived
Z_25.0_94.5,25.0,94.5,1133,1.24,21.6,-3e-06,open-elevation + DEM-derived
Z_25.0_95.0,25.0,95.0,130,1.5,24.3,3e-06,open-elevation + DEM-derived
Z_25.0_95.5,25.0,95.5,182,0.14,240.0,0.0,open-elevation + DEM-derived
