zone_id,latitude,longitude,land_cover,land_cover_code,data_source
Z_22.0_88.0,22.0,88.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_22.0_88.5,22.0,88.5,wetland,6,ESA WorldCover / ISRO Bhuvan (approximated)
Z_22.0_89.0,22.0,89.0,water,5,ESA WorldCover / ISRO Bhuvan (approximated)
Z_22.0_89.5,22.0,89.5,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_22.0_90.0,22.0,90.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_22.0_90.5,22.0,90.5,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_22.0_91.0,22.0,91.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_22.0_91.5,22.0,91.5,wetland,6,ESA WorldCover / ISRO Bhuvan (approximated)
Z_22.0_92.0,22.0,92.0,water,5,ESA WorldCover / ISRO Bhuvan (approximated)
Z_22.0_92.5,22.0,92.5,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_22.0_93.0,22.0,93.0,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_22.0_93.5,22.0,93.5,scrub,2,ESA WorldCover / ISRO Bhuvan (approximated)
Z_22.0_94.0,22.0,94.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_22.0_94.5,22.0,94.5,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_22.0_95.0,22.0,95.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_22.0_95.5,22.0,95.5,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_22.0_96.0,22.0,96.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_22.0_96.5,22.0,96.5,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_22.0_97.0,22.0,97.0,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_22.0_97.5,22.0,97.5,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_22.5_88.0,22.5,88.0,water,5,ESA WorldCover / ISRO Bhuvan (approximated)
Z_22.5_88.5,22.5,88.5,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_22.5_89.0,22.5,89.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_22.5_89.5,22.5,89.5,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_22.5_90.0,22.5,90.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_22.5_90.5,22.5,90.5,water,5,ESA WorldCover / ISRO Bhuvan (approximated)
Z_22.5_91.0,22.5,91.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_22.5_91.5,22.5,91.5,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_22.5_92.0,22.5,92.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_22.5_92.5,22.5,92.5,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_22.5_93.0,22.5,93.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_22.5_93.5,22.5,93.5,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_22.5_94.0,22.5,94.0,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
