zone_id,latitude,longitude,historical_landslide_count,historical_landslide_density,susceptibility_level,data_source
Z_22.0_88.0,22.0,88.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_22.0_88.5,22.0,88.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_22.0_89.0,22.0,89.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_22.0_89.5,22.0,89.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_22.0_90.0,22.0,90.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_22.0_90.5,22.0,90.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_22.0_91.0,22.0,91.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_22.0_91.5,22.0,91.5,16,0.3265,high,Derived from NASA COOLR / Global Landslide Catalog
Z_22.0_92.0,22.0,92.0,7,0.1429,moderate,Derived from NASA COOLR / Global Landslide Catalog
Z_22.0_92.5,22.0,92.5,1,0.0204,low,Derived from NASA COOLR / Global Landslide Catalog
Z_22.0_93.0,22.0,93.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_22.0_93.5,22.0,93.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_22.0_94.0,22.0,94.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_22.0_94.5,22.0,94.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_22.0_95.0,22.0,95.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_22.0_95.5,22.0,95.5,1,0.0204,low,Derived from NASA COOLR / Global Landslide Catalog
Z_22.0_96.0,22.0,96.0,1,0.0204,low,Derived from NASA COOLR / Global Landslide Catalog
Z_22.0_96.5,22.0,96.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_22.0_97.0,22.0,97.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_22.0_97.5,22.0,97.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_22.5_88.0,22.5,88.0,1,0.0204,low,Derived from NASA COOLR / Global Landslide Catalog
Z_22.5_88.5,22.5,88.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_22.5_89.0,22.5,89.0,1,0.0204,low,Derived from NASA COOLR / Global Landslide Catalog
Z_22.5_89.5,22.5,89.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_22.5_90.0,22.5,90.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_22.5_90.5,22.5,90.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_22.5_91.0,22.5,91.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_22.5_91.5,22.5,91.5,7,0.1429,moderate,Derived from NASA COOLR / Global Landslide Catalog
Z_22.5_92.0,22.5,92.0,9,0.1837,moderate,Derived from NASA COOLR / Global Landslide Catalog
