zone_id,latitude,longitude,fetched_at,data_source,rainfall_30min,rainfall_1h,rainfall_3h,rainfall_6h,rainfall_12h,rainfall_24h,rainfall_3day,rainfall_7day
Z_22.0_90.0,22.0,90.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.2,0.2,0.2,0.3,3.8,6.7,22.1,56.6
Z_22.0_88.0,22.0,88.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.9,1.4,1.6,2.7,8.5,17.8,45.0,62.9
Z_22.0_91.5,22.0,91.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.2,0.2,0.2,1.0,2.7,9.1,26.5,60.5
Z_22.0_89.0,22.0,89.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.8,1.0,1.0,1.1,5.9,11.1,33.2,69.4
Z_22.0_92.0,22.0,92.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.0,0.0,0.0,3.2,11.1,11.2,30.2,58.5
Z_22.0_91.0,22.0,91.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.2,0.2,0.2,0.4,1.3,17.5,36.0,55.2
Z_22.0_90.5,22.0,90.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.1,0.4,0.7,0.9,2.9,10.0,28.4,49.7
Z_22.0_89.5,22.0,89.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.0,0.0,0.0,0.1,1.7,3.8,25.3,48.4
Z_22.0_88.5,22.0,88.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),2.5,2.6,2.6,3.2,13.2,14.8,45.9,73.1
Z_22.0_92.5,22.0,92.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.0,0.0,0.0,0.8,9.0,9.0,39.1,84.7
Z_22.0_93.0,22.0,93.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.1,0.1,0.1,0.2,22.2,22.5,69.7,112.5
Z_22.0_93.5,22.0,93.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.0,0.0,0.0,0.1,5.0,9.1,23.1,81.2
Z_22.0_95.0,22.0,95.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.8,2.0,5.8,6.0,12.8,19.1,78.7,100.6
Z_22.0_94.5,22.0,94.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),1.6,3.8,4.9,5.0,6.9,11.8,79.3,97.1
Z_22.0_96.0,22.0,96.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.0,0.1,0.9,3.8,7.4,11.3,43.9,61.8
Z_22.0_95.5,22.0,95.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.3,1.9,5.2,5.2,6.4,10.8,79.4,99.9
Z_22.5_89.5,22.5,89.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.3,0.3,0.3,1.5,11.5,13.5,26.5,57.3
Z_22.0_97.5,22.0,97.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.0,0.0,0.0,0.0,1.8,2.2,29.5,49.8
Z_22.5_88.5,22.5,88.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.0,0.0,0.0,0.4,12.4,15.0,46.2,93.2
Z_22.0_94.0,22.0,94.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.3,0.4,0.4,0.5,5.5,9.6,30.4,54.0
Z_22.0_97.0,22.0,97.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.0,0.1,0.1,0.1,4.7,10.9,43.4,70.6
Z_22.5_89.0,22.5,89.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.1,0.1,0.1,0.4,10.7,12.5,22.1,58.8
Z_22.5_88.0,22.5,88.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.0,0.0,0.1,0.3,13.5,14.5,39.7,70.4
Z_22.0_96.5,22.0,96.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.0,0.0,1.8,1.9,5.3,9.7,30.8,79.4
Z_22.5_90.5,22.5,90.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.0,0.0,1.9,2.1,8.3,14.5,42.6,88.8
Z_22.5_90.0,22.5,90.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.2,0.6,0.6,0.7,15.2,19.2,67.6,119.5
Z_22.5_92.0,22.5,92.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.1,0.3,0.5,0.8,13.3,14.9,37.6,63.3
Z_22.5_91.0,22.5,91.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.4,0.4,0.4,0.6,0.9,8.3,18.1,52.9
Z_22.5_91.5,22.5,91.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.0,0.0,0.1,0.5,2.2,5.2,14.9,42.8
Z_22.5_93.5,22.5,93.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.1,0.2,0.2,0.4,6.5,15.9,33.0,84.8
Z_22.5_92.5,22.5,92.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.0,0.0,0.0,0.9,6.8,6.8,43.3,91.1
Z_22.5_94.0,22.5,94.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),1.0,1.1,1.2,1.7,3.9,14.1,43.9,57.7
