zone_id,latitude,longitude,soil_moisture_0_7cm,soil_moisture_7_28cm,fetched_at,data_source
Z_22.0_90.0,22.0,90.0,0.486,0.477,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_22.0_88.0,22.0,88.0,0.515,0.506,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_22.0_91.5,22.0,91.5,0.0,0.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_22.0_89.0,22.0,89.0,0.504,0.504,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_22.0_92.0,22.0,92.0,0.418,0.422,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_22.0_91.0,22.0,91.0,0.0,0.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_22.0_90.5,22.0,90.5,0.497,0.496,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_22.0_89.5,22.0,89.5,0.489,0.493,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_22.0_88.5,22.0,88.5,0.52,0.507,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_22.0_92.5,22.0,92.5,0.418,0.422,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_22.0_93.0,22.0,93.0,0.42,0.424,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_22.0_93.5,22.0,93.5,0.413,0.417,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_22.0_95.0,22.0,95.0,0.505,0.515,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_22.0_94.5,22.0,94.5,0.516,0.502,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_22.0_96.0,22.0,96.0,0.507,0.509,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_22.0_95.5,22.0,95.5,0.512,0.51,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
