report_id,submitted_at,user_id,latitude,longitude,location_name,hazard_type,severity,description,photo_id,status,verified_by,source
CR0001,2026-09-03T05:07:50Z,U5506,26.6999,94.1316,"Jorhat, Assam",rockfall,low,"Community report from Jorhat, Assam: observed tree_fall near main road.",,pending,,resqnet_citizen
CR0002,2026-08-03T05:19:50Z,U4257,25.9432,93.7703,"Dimapur, Nagaland",tree_fall,moderate,"Community report from Dimapur, Nagaland: observed embankment_failure near main road.",PH0002,pending,AUTH03,resqnet_citizen
CR0003,2026-08-13T19:37:50Z,U3547,26.5769,92.8453,"Tezpur, Assam",rockfall,low,"Community report from Tezpur, Assam: observed tree_fall near main road.",,resolved,AUTH01,resqnet_citizen
CR0004,2026-08-11T12:47:50Z,U7201,26.5496,92.7512,"Tezpur, Assam",road_damage,moderate,"Community report from Tezpur, Assam: observed rockfall near main road.",,verified,AUTH02,resqnet_citizen
CR0005,2026-08-27T02:30:50Z,U5554,25.2747,91.7928,"Cherrapunji, Meghalaya",road_crack,high,"Community report from Cherrapunji, Meghalaya: observed road_damage near main road.",,resolved,AUTH02,resqnet_citizen
CR0006,2026-08-01T00:20:50Z,U5010,24.766,92.7548,"Silchar, Assam",waterlogging,high,"Community report from Silchar, Assam: observed landslide near main road.",,pending,AUTH07,resqnet_citizen
CR0007,2026-09-05T22:56:50Z,U6155,25.6176,94.1084,"Kohima, Nagaland",embankment_failure,moderate,"Community report from Kohima, Nagaland: observed soil_movement near main road.",,resolved,AUTH07,resqnet_citizen
CR0008,2026-08-03T17:31:50Z,U4593,24.4325,93.6107,"Churachandpur, Manipur",embankment_failure,low,"Community report from Churachandpur, Manipur: observed landslide near main road.",PH0008,verified,AUTH07,resqnet_citizen
CR0009,2026-09-05T17:30:50Z,U8668,24.8391,92.8731,"Silchar, Assam",landslide,low,"Community report from Silchar, Assam: observed soil_movement near main road.",PH0009,resolved,,resqnet_citizen
CR0010,2026-08-30T15:54:50Z,U5315,23.9259,91.3392,"Agartala, Tripura",rockfall,high,"Community report from Agartala, Tripura: observed waterlogging near main road.",,verified,AUTH09,resqnet_citizen
CR0011,2026-09-09T10:34:50Z,U9005,24.2369,93.7688,"Churachandpur, Manipur",soil_movement,moderate,"Community report from Churachandpur, Manipur: observed landslide near main road.",,pending,,resqnet_citizen
CR0012,2026-07-20T03:06:50Z,U9727,27.3846,88.5395,"Gangtok, Sikkim",embankment_failure,moderate,"Community report from Gangtok, Sikkim: observed soil_movement near main road.",PH0012,dismissed,AUTH09,resqnet_citizen
CR0013,2026-07-25T07:42:50Z,U6107,25.2778,91.6168,"Mawsynram, Meghalaya",road_damage,critical,"Community report from Mawsynram, Meghalaya: observed embankment_failure near main road.",,verified,,resqnet_citizen
CR0014,2026-08-03T12:40:50Z,U4608,26.0459,91.7778,"Guwahati, Assam",landslide,moderate,"Community report from Guwahati, Assam: observed rockfall near main road.",PH0014,resolved,,resqnet_citizen
CR0015,2026-08-23T08:23:50Z,U4510,23.7349,92.7623,"Aizawl, Mizoram",embankment_failure,moderate,"Community report from Aizawl, Mizoram: observed embankment_failure near main road.",PH0015,verified,,resqnet_citizen
CR0016,2026-08-13T18:27:50Z,U7735,26.7443,94.2495,"Jorhat, Assam",rockfall,low,"Community report from Jorhat, Assam: observed tree_fall near main road.",PH0016,pending,,resqnet_citizen
CR0017,2026-08-06T15:46:50Z,U7912,23.6638,92.7101,"Aizawl, Mizoram",rockfall,critical,"Community report from Aizawl, Mizoram: observed rockfall near main road.",,pending,AUTH04,resqnet_citizen
CR0018,2026-08-14T14:24:50Z,U4502,24.8899,94.0173,"Imphal, Manipur",road_crack,critical,"Community report from Imphal, Manipur: observed landslide near main road.",PH0018,resolved,AUTH08,resqnet_citizen
CR0019,2026-08-13T07:08:50Z,U8973,25.6061,94.0679,"Kohima, Nagaland",landslide,low,"Community report from Kohima, Nagaland: observed road_damage near main road.",,dismissed,AUTH09,resqnet_citizen
CR0020,2026-09-06T13:49:50Z,U4044,24.7307,93.8504,"Imphal, Manipur",waterlogging,critical,"Community report from Imphal, Manipur: observed rockfall near main road.",PH0020,verified,AUTH01,resqnet_citizen
CR0021,2026-09-04T16:12:50Z,U9565,24.7966,92.7311,"Silchar, Assam",road_damage,moderate,"Community report from Silchar, Assam: observed soil_movement near main road.",,resolved,,resqnet_citizen
CR0022,2026-07-24T03:54:50Z,U8508,24.3572,93.6956,"Churachandpur, Manipur",rockfall,low,"Community report from Churachandpur, Manipur: observed waterlogging near main road.",PH0022,verified,AUTH02,resqnet_citizen
CR0023,2026-08-25T18:36:50Z,U3584,24.3206,93.6916,"Churachandpur, Manipur",soil_movement,low,"Community report from Churachandpur, Manipur: observed soil_movement near main road.",PH0023,pending,AUTH03,resqnet_citizen
CR0024,2026-09-03T02:07:50Z,U3546,25.6296,94.1296,"Kohima, Nagaland",road_damage,moderate,"Community report from Kohima, Nagaland: observed soil_movement near main road.",PH0024,resolved,AUTH01,resqnet_citizen
CR0025,2026-07-31T16:01:50Z,U5533,25.4876,91.86,"Shillong, Meghalaya",road_crack,high,"Community report from Shillong, Meghalaya: observed road_crack near main road.",PH0025,dismissed,AUTH02,resqnet_citizen
CR0026,2026-07-11T06:57:50Z,U3442,25.5879,91.9602,"Shillong, Meghalaya",road_crack,critical,"Community report from Shillong, Meghalaya: observed road_crack near main road.",,resolved,AUTH01,resqnet_citizen
CR0027,2026-08-18T23:11:50Z,U5088,24.3664,93.6537,"Churachandpur, Manipur",tree_fall,moderate,"Community report from Churachandpur, Manipur: observed waterlogging near main road.",PH0027,verified,AUTH01,resqnet_citizen
CR0028,2026-07-24T19:04:50Z,U7745,24.8774,94.0096,"Imphal, Manipur",waterlogging,high,"Community report from Imphal, Manipur: observed road_crack near main road.",PH0028,pending,,resqnet_citizen
CR0029,2026-07-17T14:40:50Z,U4269,26.2078,91.7283,"Guwahati, Assam",soil_movement,moderate,"Community report from Guwahati, Assam: observed waterlogging near main road.",,verified,,resqnet_citizen
CR0030,2026-07-17T03:05:50Z,U5573,25.6453,94.1105,"Kohima, Nagaland",road_damage,low,"Community report from Kohima, Nagaland: observed rockfall near main road.",PH0030,resolved,,resqnet_citizen
CR0031,2026-09-08T02:16:50Z,U8119,25.6442,94.1659,"Kohima, Nagaland",tree_fall,low,"Community report from Kohima, Nagaland: observed tree_fall near main road.",PH0031,verified,,resqnet_citizen
