photo_id,uploaded_at,user_id,latitude,longitude,location_name,linked_report_id,linked_sos_id,file_name,file_size_kb,hazard_type,caption,status,source
PH0001,2026-08-30T20:56:50Z,U8894,25.3775,91.685,"Cherrapunji, Meghalaya",CR0001,SOS0001,img_0001.jpg,2018,rockfall,"Photo taken at Cherrapunji, Meghalaya showing hazard condition.",uploaded,resqnet_citizen
PH0002,2026-08-26T08:08:50Z,U7511,25.3915,91.6434,"Mawsynram, Meghalaya",CR0002,SOS0002,img_0002.jpg,157,soil_movement,"Photo taken at Mawsynram, Meghalaya showing hazard condition.",flagged,resqnet_citizen
PH0003,2026-08-11T18:11:50Z,U5295,25.5957,91.9578,"Shillong, Meghalaya",CR0003,,img_0003.jpg,1057,embankment_failure,"Photo taken at Shillong, Meghalaya showing hazard condition.",uploaded,resqnet_citizen
PH0004,2026-07-15T12:34:50Z,U4626,24.8628,92.806,"Silchar, Assam",CR0004,SOS0004,img_0004.jpg,2759,tree_fall,"Photo taken at Silchar, Assam showing hazard condition.",uploaded,resqnet_citizen
PH0005,2026-09-08T04:35:50Z,U9071,24.7402,93.8838,"Imphal, Manipur",CR0005,,img_0005.jpg,1619,tree_fall,"Photo taken at Imphal, Manipur showing hazard condition.",flagged,resqnet_citizen
PH0006,2026-07-26T00:58:50Z,U7797,26.6648,92.8593,"Tezpur, Assam",CR0006,SOS0006,img_0006.jpg,1245,landslide,"Photo taken at Tezpur, Assam showing hazard condition.",flagged,resqnet_citizen
PH0007,2026-08-27T15:26:50Z,U4868,27.1555,93.5252,"Itanagar, Arunachal",CR0007,,img_0007.jpg,2741,road_damage,"Photo taken at Itanagar, Arunachal showing hazard condition.",uploaded,resqnet_citizen
PH0008,2026-08-23T23:47:50Z,U8450,23.7498,91.2292,"Agartala, Tripura",CR0008,SOS0008,img_0008.jpg,307,road_damage,"Photo taken at Agartala, Tripura showing hazard condition.",uploaded,resqnet_citizen
PH0009,2026-07-21T11:41:50Z,U2124,24.883,93.9476,"Imphal, Manipur",CR0009,SOS0009,img_0009.jpg,1054,road_damage,"Photo taken at Imphal, Manipur showing hazard condition.",uploaded,resqnet_citizen
PH0010,2026-07-14T10:54:50Z,U5542,25.3697,91.5114,"Mawsynram, Meghalaya",,,img_0010.jpg,814,rockfall,"Photo taken at Mawsynram, Meghalaya showing hazard condition.",flagged,resqnet_citizen
PH0011,2026-09-09T01:54:50Z,U6869,25.342,91.6736,"Cherrapunji, Meghalaya",CR0011,,img_0011.jpg,314,road_crack,"Photo taken at Cherrapunji, Meghalaya showing hazard condition.",flagged,resqnet_citizen
PH0012,2026-08-08T02:07:50Z,U2041,23.8267,91.3424,"Agartala, Tripura",CR0012,,img_0012.jpg,2163,waterlogging,"Photo taken at Agartala, Tripura showing hazard condition.",flagged,resqnet_citizen
PH0013,2026-07-25T08:21:50Z,U5941,26.1361,91.829,"Guwahati, Assam",,,img_0013.jpg,1745,tree_fall,"Photo taken at Guwahati, Assam showing hazard condition.",flagged,resqnet_citizen
PH0014,2026-08-09T06:56:50Z,U8267,25.4935,91.8095,"Shillong, Meghalaya",CR0014,,img_0014.jpg,1226,road_damage,"Photo taken at Shillong, Meghalaya showing hazard condition.",reviewed,resqnet_citizen
PH0015,2026-08-07T20:25:50Z,U9282,24.8544,92.6987,"Silchar, Assam",CR0015,SOS0015,img_0015.jpg,2766,waterlogging,"Photo taken at Silchar, Assam showing hazard condition.",reviewed,resqnet_citizen
PH0016,2026-07-15T22:28:50Z,U6553,27.3969,88.5935,"Gangtok, Sikkim",CR0016,,img_0016.jpg,1380,soil_movement,"Photo taken at Gangtok, Sikkim showing hazard condition.",reviewed,resqnet_citizen
PH0017,2026-07-28T14:50:50Z,U2494,24.8834,93.8554,"Imphal, Manipur",,SOS0017,img_0017.jpg,3425,road_crack,"Photo taken at Imphal, Manipur showing hazard condition.",flagged,resqnet_citizen
PH0018,2026-08-03T12:19:50Z,U6400,26.1785,91.7184,"Guwahati, Assam",CR0018,SOS0018,img_0018.jpg,1832,landslide,"Photo taken at Guwahati, Assam showing hazard condition.",reviewed,resqnet_citizen
PH0019,2026-08-21T18:48:50Z,U9313,24.7758,92.8102,"Silchar, Assam",,,img_0019.jpg,3562,road_damage,"Photo taken at Silchar, Assam showing hazard condition.",uploaded,resqnet_citizen
PH0020,2026-08-23T11:40:50Z,U8030,25.367,91.6774,"Mawsynram, Meghalaya",CR0020,,img_0020.jpg,2732,landslide,"Photo taken at Mawsynram, Meghalaya showing hazard condition.",flagged,resqnet_citizen
PH0021,2026-07-29T07:37:50Z,U1474,24.2691,93.7235,"Churachandpur, Manipur",CR0021,,img_0021.jpg,125,road_crack,"Photo taken at Churachandpur, Manipur showing hazard condition.",uploaded,resqnet_citizen
PH0022,2026-07-29T17:50:50Z,U3324,24.8815,92.8733,"Silchar, Assam",,,img_0022.jpg,1640,tree_fall,"Photo taken at Silchar, Assam showing hazard condition.",reviewed,resqnet_citizen
PH0023,2026-08-30T18:35:50Z,U6314,27.1398,93.6188,"Itanagar, Arunachal",,,img_0023.jpg,744,landslide,"Photo taken at Itanagar, Arunachal showing hazard condition.",flagged,resqnet_citizen
PH0024,2026-08-23T15:12:50Z,U7947,25.5759,91.8817,"Shillong, Meghalaya",,SOS0024,img_0024.jpg,566,road_damage,"Photo taken at Shillong, Meghalaya showing hazard condition.",reviewed,resqnet_citizen
PH0025,2026-08-22T08:11:50Z,U8972,25.5842,91.855,"Shillong, Meghalaya",,SOS0025,img_0025.jpg,324,landslide,"Photo taken at Shillong, Meghalaya showing hazard condition.",uploaded,resqnet_citizen
PH0026,2026-07-11T23:05:50Z,U3248,25.7279,94.0665,"Kohima, Nagaland",,,img_0026.jpg,1863,road_crack,"Photo taken at Kohima, Nagaland showing hazard condition.",uploaded,resqnet_citizen
PH0027,2026-08-06T07:40:50Z,U9196,23.8432,91.3204,"Agartala, Tripura",CR0027,,img_0027.jpg,3139,landslide,"Photo taken at Agartala, Tripura showing hazard condition.",reviewed,resqnet_citizen
