blockage_id,reported_at,latitude,longitude,location_name,road_name,blockage_type,severity,passable,estimated_clearance_hours,reported_by,status,photo_id,source
RB0001,2026-08-11T04:50:50Z,25.3665,91.545,"Mawsynram, Meghalaya",forest_road-52,rockfall,moderate,True,4,volunteer,active,,resqnet_crowdsource
RB0002,2026-08-16T09:31:50Z,23.672,92.8974,"Aizawl, Mizoram",NH-39,flood_water,critical,False,8,volunteer,active,PH0002,resqnet_crowdsource
RB0003,2026-08-29T17:34:50Z,25.9598,93.6298,"Dimapur, Nagaland",NH-2,rockfall,moderate,False,24,volunteer,partially_cleared,,resqnet_crowdsource
RB0004,2026-09-01T07:26:50Z,25.1838,91.6273,"Mawsynram, Meghalaya",village_road-13,landslide_debris,moderate,True,12,authority,partially_cleared,,resqnet_crowdsource
RB0005,2026-08-15T08:00:50Z,25.7734,91.9604,"Shillong, Meghalaya",NH-36,fallen_trees,high,False,,authority,partially_cleared,PH0005,resqnet_crowdsource
RB0006,2026-08-21T00:04:50Z,26.5784,92.6823,"Tezpur, Assam",SH-51,flood_water,moderate,False,2,ngo,partially_cleared,PH0006,resqnet_crowdsource
RB0007,2026-08-15T12:46:50Z,27.3762,88.4483,"Gangtok, Sikkim",district_road-26,rockfall,critical,False,,volunteer,partially_cleared,,resqnet_crowdsource
RB0008,2026-08-21T03:26:50Z,27.0707,93.6122,"Itanagar, Arunachal",SH-57,fallen_trees,moderate,True,12,citizen,active,PH0008,resqnet_crowdsource
RB0009,2026-09-05T00:34:50Z,25.849,93.9988,"Kohima, Nagaland",forest_road-58,bridge_damage,low,False,4,ngo,active,PH0009,resqnet_crowdsource
RB0010,2026-08-24T03:22:50Z,24.8897,92.8156,"Silchar, Assam",forest_road-10,flood_water,high,True,,citizen,active,,resqnet_crowdsource
RB0011,2026-08-16T11:38:50Z,26.8114,94.3105,"Jorhat, Assam",village_road-40,rockfall,low,False,48,ngo,partially_cleared,PH0011,resqnet_crowdsource
RB0012,2026-09-02T08:29:50Z,27.2504,88.443,"Gangtok, Sikkim",NH-11,road_collapse,critical,False,12,authority,cleared,PH0012,resqnet_crowdsource
RB0013,2026-08-13T07:34:50Z,27.1781,93.7496,"Itanagar, Arunachal",village_road-9,bridge_damage,low,False,4,volunteer,active,,resqnet_crowdsource
RB0014,2026-09-06T02:51:50Z,23.6432,92.6713,"Aizawl, Mizoram",forest_road-27,flood_water,moderate,False,24,ngo,active,PH0014,resqnet_crowdsource
RB0015,2026-08-24T15:23:50Z,27.483,88.6127,"Gangtok, Sikkim",NH-26,fallen_trees,critical,True,4,ngo,active,,resqnet_crowdsource
RB0016,2026-08-21T09:11:50Z,27.3196,88.6285,"Gangtok, Sikkim",NH-28,flood_water,high,False,,volunteer,cleared,,resqnet_crowdsource
RB0017,2026-08-22T12:42:50Z,26.0895,91.6516,"Guwahati, Assam",village_road-33,road_collapse,high,True,4,citizen,cleared,,resqnet_crowdsource
RB0018,2026-08-23T18:06:50Z,26.9421,93.6463,"Itanagar, Arunachal",village_road-33,landslide_debris,low,True,4,ngo,cleared,PH0018,resqnet_crowdsource
RB0019,2026-08-21T13:46:50Z,24.7482,93.982,"Imphal, Manipur",SH-26,fallen_trees,high,False,24,volunteer,partially_cleared,PH0019,resqnet_crowdsource
RB0020,2026-08-15T05:31:50Z,27.2639,88.4576,"Gangtok, Sikkim",village_road-38,bridge_damage,low,False,8,authority,partially_cleared,,resqnet_crowdsource
RB0021,2026-09-04T13:14:50Z,27.4199,88.7236,"Gangtok, Sikkim",village_road-10,rockfall,moderate,True,24,citizen,active,,resqnet_crowdsource
RB0022,2026-08-28T01:28:50Z,27.1606,93.5695,"Itanagar, Arunachal",forest_road-59,road_collapse,low,True,24,authority,partially_cleared,,resqnet_crowdsource
RB0023,2026-08-25T13:30:50Z,26.6764,94.073,"Jorhat, Assam",forest_road-22,fallen_trees,high,False,24,volunteer,active,PH0023,resqnet_crowdsource
