waterlog_id,reported_at,latitude,longitude,location_name,depth_cm,area_sqm,severity,affects_road,affects_homes,reported_by,status,photo_id,source
WL0001,2026-08-13T22:07:50Z,24.7271,92.7071,"Silchar, Assam",150,500,moderate,True,False,citizen,receding,PH0001,resqnet_citizen
WL0002,2026-08-25T12:13:50Z,23.8601,92.6689,"Aizawl, Mizoram",,,critical,False,True,authority,active,,resqnet_citizen
WL0003,2026-08-25T23:56:50Z,26.0168,93.8771,"Dimapur, Nagaland",10,5000,low,True,True,citizen,receding,,resqnet_citizen
WL0004,2026-09-03T03:09:50Z,26.6462,94.1193,"Jorhat, Assam",,500,low,False,False,citizen,active,PH0004,resqnet_citizen
WL0005,2026-09-10T05:21:50Z,23.8982,91.2975,"Agartala, Tripura",75,50,critical,True,True,citizen,resolved,,resqnet_citizen
WL0006,2026-08-21T13:38:50Z,23.8217,92.6478,"Aizawl, Mizoram",150,50,high,False,False,citizen,resolved,,resqnet_citizen
WL0007,2026-08-15T03:13:50Z,26.8984,94.2487,"Jorhat, Assam",10,50,critical,False,False,authority,active,PH0007,resqnet_citizen
WL0008,2026-09-05T03:23:50Z,26.7374,92.8361,"Tezpur, Assam",100,5000,low,True,True,citizen,resolved,PH0008,resqnet_citizen
WL0009,2026-09-02T03:55:50Z,27.2037,88.7415,"Gangtok, Sikkim",10,100,high,True,True,citizen,resolved,PH0009,resqnet_citizen
WL0010,2026-09-07T20:44:50Z,24.3522,93.703,"Churachandpur, Manipur",150,,high,False,True,citizen,resolved,PH0010,resqnet_citizen
WL0011,2026-09-09T02:27:50Z,27.004,93.4781,"Itanagar, Arunachal",150,500,low,False,False,authority,active,,resqnet_citizen
WL0012,2026-08-28T00:11:50Z,23.8573,91.2508,"Agartala, Tripura",75,100,low,True,False,citizen,receding,PH0012,resqnet_citizen
WL0013,2026-09-05T06:30:50Z,26.6959,94.0857,"Jorhat, Assam",10,500,critical,False,False,citizen,active,,resqnet_citizen
WL0014,2026-08-26T12:19:50Z,23.8352,91.1678,"Agartala, Tripura",20,500,low,False,False,citizen,receding,,resqnet_citizen
WL0015,2026-09-07T05:57:50Z,25.3159,91.7303,"Mawsynram, Meghalaya",50,5000,moderate,False,True,citizen,receding,,resqnet_citizen
WL0016,2026-09-06T03:44:50Z,27.3118,88.5901,"Gangtok, Sikkim",,50,high,False,True,authority,resolved,PH0016,resqnet_citizen
WL0017,2026-09-07T01:35:50Z,27.1834,88.5825,"Gangtok, Sikkim",150,500,critical,False,False,citizen,receding,,resqnet_citizen
WL0018,2026-09-03T14:34:50Z,26.5371,92.7621,"Tezpur, Assam",100,500,critical,True,False,authority,receding,PH0018,resqnet_citizen
WL0019,2026-08-30T01:55:50Z,23.8507,91.3145,"Agartala, Tripura",30,,low,False,True,authority,receding,PH0019,resqnet_citizen
WL0020,2026-08-14T16:11:50Z,25.5786,91.9333,"Shillong, Meghalaya",50,500,moderate,False,False,citizen,receding,PH0020,resqnet_citizen
WL0021,2026-08-22T17:20:50Z,27.3334,88.7399,"Gangtok, Sikkim",150,5000,low,False,True,citizen,active,PH0021,resqnet_citizen
WL0022,2026-09-04T09:15:50Z,26.9477,93.7504,"Itanagar, Arunachal",150,500,critical,True,True,citizen,receding,,resqnet_citizen
WL0023,2026-08-24T12:17:50Z,26.6901,92.7089,"Tezpur, Assam",100,1000,critical,True,False,citizen,receding,,resqnet_citizen
WL0024,2026-08-12T03:47:50Z,23.9309,91.3558,"Agartala, Tripura",100,500,high,False,True,authority,receding,,resqnet_citizen
WL0025,2026-08-17T07:26:50Z,27.2771,88.5539,"Gangtok, Sikkim",20,50,high,True,True,citizen,resolved,,resqnet_citizen
WL0026,2026-08-30T12:27:50Z,24.9545,93.8564,"Imphal, Manipur",150,,moderate,True,False,authority,active,PH0026,resqnet_citizen
WL0027,2026-09-03T15:17:50Z,24.3119,93.5343,"Churachandpur, Manipur",50,100,high,True,True,citizen,receding,,resqnet_citizen
WL0028,2026-09-06T21:12:50Z,27.4402,88.6221,"Gangtok, Sikkim",100,5000,critical,False,True,authority,receding,PH0028,resqnet_citizen
WL0029,2026-09-04T08:09:50Z,24.9235,92.9045,"Silchar, Assam",20,,moderate,False,True,citizen,receding,,resqnet_citizen
WL0030,2026-08-19T01:22:50Z,27.0509,93.6342,"Itanagar, Arunachal",150,1000,moderate,False,True,citizen,receding,,resqnet_citizen
WL0031,2026-08-30T15:15:50Z,24.6831,93.8945,"Imphal, Manipur",10,1000,moderate,True,False,authority,receding,PH0031,resqnet_citizen
WL0032,2026-08-18T15:23:50Z,23.7317,91.3064,"Agartala, Tripura",50,500,low,False,True,authority,active,PH0032,resqnet_citizen
WL0033,2026-08-17T14:19:50Z,24.8365,92.8007,"Silchar, Assam",75,5000,high,True,False,citizen,receding,,resqnet_citizen
WL0034,2026-08-20T22:35:50Z,25.3964,91.5857,"Cherrapunji, Meghalaya",75,500,low,False,True,citizen,active,PH0034,resqnet_citizen
WL0035,2026-08-18T17:59:50Z,24.8965,92.8187,"Silchar, Assam",30,5000,moderate,True,True,citizen,resolved,,resqnet_citizen
WL0036,2026-08-21T12:44:50Z,25.6222,94.1698,"Kohima, Nagaland",75,5000,high,True,True,authority,active,PH0036,resqnet_citizen
WL0037,2026-08-21T01:10:50Z,25.3938,91.6509,"Cherrapunji, Meghalaya",100,100,critical,False,True,authority,resolved,,resqnet_citizen
WL0038,2026-09-07T09:04:50Z,27.4454,88.4917,"Gangtok, Sikkim",75,,high,False,False,authority,resolved,,resqnet_citizen
WL0039,2026-08-13T06:49:50Z,25.3673,91.57,"Mawsynram, Meghalaya",100,50,critical,True,False,citizen,receding,,resqnet_citizen
WL0040,2026-08-31T19:19:50Z,25.3074,91.7458,"Cherrapunji, Meghalaya",,500,low,True,True,authority,active,,resqnet_citizen
