resource_id,resource_type,unit,quantity_total,quantity_available,quantity_deployed,location_name,latitude,longitude,owned_by,status,last_updated,source
RES0001,food_packets,packets,227,53,53,"Gangtok, Sikkim",27.3314,88.6138,District_Authority,depleted,2026-09-06T21:26:50Z,authority_ngo_portal
RES0002,water_bottles,litres,302,67,147,"Imphal, Manipur",24.817,93.9368,Red_Cross,available,2026-09-07T22:19:50Z,authority_ngo_portal
RES0003,medicine_kits,kits,448,195,50,"Agartala, Tripura",23.8315,91.2868,State_DMA,deployed,2026-09-07T05:43:50Z,authority_ngo_portal
RES0004,blankets,units,265,68,132,"Agartala, Tripura",23.8315,91.2868,District_Authority,reserved,2026-09-07T21:19:50Z,authority_ngo_portal
RES0005,vehicles_4wd,units,300,24,101,"Cherrapunji, Meghalaya",25.284,91.726,NDRF,deployed,2026-09-09T23:02:50Z,authority_ngo_portal
RES0006,boats,units,253,214,80,"Kohima, Nagaland",25.6751,94.1086,NDRF,reserved,2026-09-07T21:31:50Z,authority_ngo_portal
RES0007,ropes,metres,296,285,65,"Itanagar, Arunachal",27.0844,93.6053,District_Authority,available,2026-09-07T02:32:50Z,authority_ngo_portal
RES0008,first_aid_kits,kits,357,310,50,"Cherrapunji, Meghalaya",25.284,91.726,State_DMA,depleted,2026-09-07T19:11:50Z,authority_ngo_portal
RES0009,tents,units,259,228,20,"Dimapur, Nagaland",25.9,93.73,Army_Unit,depleted,2026-09-06T09:45:50Z,authority_ngo_portal
RES0010,generators,units,95,81,21,"Cherrapunji, Meghalaya",25.284,91.726,Army_Unit,reserved,2026-09-10T03:44:50Z,authority_ngo_portal
RES0011,food_packets,packets,126,40,40,"Itanagar, Arunachal",27.0844,93.6053,NGO_Helping_Hands,depleted,2026-09-06T20:58:50Z,authority_ngo_portal
RES0012,water_bottles,litres,409,185,191,"Gangtok, Sikkim",27.3314,88.6138,Civil_Defence,reserved,2026-09-09T00:00:50Z,authority_ngo_portal
RES0013,medicine_kits,kits,74,30,16,"Guwahati, Assam",26.1445,91.7362,NDRF,deployed,2026-09-08T17:48:50Z,authority_ngo_portal
RES0014,blankets,units,42,30,17,"Shillong, Meghalaya",25.5788,91.8933,SDRF,available,2026-09-06T13:06:50Z,authority_ngo_portal
RES0015,vehicles_4wd,units,63,33,9,"Shillong, Meghalaya",25.5788,91.8933,NDRF,reserved,2026-09-07T22:39:50Z,authority_ngo_portal
RES0016,boats,units,155,113,16,"Tezpur, Assam",26.6338,92.7926,State_DMA,deployed,2026-09-10T04:12:50Z,authority_ngo_portal
RES0017,ropes,metres,450,166,221,"Itanagar, Arunachal",27.0844,93.6053,Civil_Defence,reserved,2026-09-07T12:26:50Z,authority_ngo_portal
RES0018,first_aid_kits,kits,495,357,138,"Imphal, Manipur",24.817,93.9368,State_DMA,reserved,2026-09-06T13:14:50Z,authority_ngo_portal
RES0019,tents,units,283,158,88,"Jorhat, Assam",26.7509,94.2037,Civil_Defence,deployed,2026-09-09T15:35:50Z,authority_ngo_portal
RES0020,generators,units,221,66,19,"Itanagar, Arunachal",27.0844,93.6053,NGO_Helping_Hands,available,2026-09-09T13:02:50Z,authority_ngo_portal
RES0021,food_packets,packets,444,69,88,"Mawsynram, Meghalaya",25.298,91.5825,NGO_Helping_Hands,reserved,2026-09-09T06:55:50Z,authority_ngo_portal
RES0022,water_bottles,litres,494,386,122,"Gangtok, Sikkim",27.3314,88.6138,NGO_Helping_Hands,available,2026-09-06T20:16:50Z,authority_ngo_portal
RES0023,medicine_kits,kits,417,3,140,"Aizawl, Mizoram",23.7271,92.7176,District_Authority,deployed,2026-09-06T12:27:50Z,authority_ngo_portal
RES0024,blankets,units,137,41,49,"Agartala, Tripura",23.8315,91.2868,Army_Unit,deployed,2026-09-08T03:27:50Z,authority_ngo_portal
RES0025,vehicles_4wd,units,132,132,34,"Jorhat, Assam",26.7509,94.2037,NGO_Helping_Hands,depleted,2026-09-06T23:00:50Z,authority_ngo_portal
RES0026,boats,units,103,17,18,"Shillong, Meghalaya",25.5788,91.8933,NDRF,reserved,2026-09-06T21:10:50Z,authority_ngo_portal
RES0027,ropes,metres,261,96,82,"Silchar, Assam",24.8333,92.7789,SDRF,deployed,2026-09-09T12:53:50Z,authority_ngo_portal
RES0028,first_aid_kits,kits,62,18,17,"Imphal, Manipur",24.817,93.9368,State_DMA,reserved,2026-09-09T22:49:50Z,authority_ngo_portal
RES0029,tents,units,17,15,3,"Imphal, Manipur",24.817,93.9368,District_Authority,reserved,2026-09-07T14:31:50Z,authority_ngo_portal
RES0030,generators,units,366,16,84,"Gangtok, Sikkim",27.3314,88.6138,NDRF,deployed,2026-09-09T21:05:50Z,authority_ngo_portal
RES0031,food_packets,packets,46,34,15,"Agartala, Tripura",23.8315,91.2868,State_DMA,deployed,2026-09-07T17:01:50Z,authority_ngo_portal
RES0032,water_bottles,litres,72,31,24,"Guwahati, Assam",26.1445,91.7362,Civil_Defence,deployed,2026-09-09T23:25:50Z,authority_ngo_portal
RES0033,medicine_kits,kits,404,48,133,"Tezpur, Assam",26.6338,92.7926,Red_Cross,reserved,2026-09-06T08:35:50Z,authority_ngo_portal
RES0034,blankets,units,175,40,80,"Churachandpur, Manipur",24.333,93.683,SDRF,available,2026-09-07T14:14:50Z,authority_ngo_portal
RES0035,vehicles_4wd,units,111,46,3,"Kohima, Nagaland",25.6751,94.1086,Red_Cross,available,2026-09-08T09:27:50Z,authority_ngo_portal
RES0036,boats,units,17,5,4,"Itanagar, Arunachal",27.0844,93.6053,NDRF,reserved,2026-09-09T05:52:50Z,authority_ngo_portal
RES0037,ropes,metres,411,353,121,"Silchar, Assam",24.8333,92.7789,State_DMA,depleted,2026-09-09T22:44:50Z,authority_ngo_portal
RES0038,first_aid_kits,kits,56,43,19,"Gangtok, Sikkim",27.3314,88.6138,District_Authority,available,2026-09-09T18:13:50Z,authority_ngo_portal
RES0039,tents,units,369,274,27,"Imphal, Manipur",24.817,93.9368,State_DMA,reserved,2026-09-08T19:19:50Z,authority_ngo_portal
RES0040,generators,units,340,177,112,"Mawsynram, Meghalaya",25.298,91.5825,Red_Cross,available,2026-09-06T18:08:50Z,authority_ngo_portal
