latitude,longitude,event_date,elevation,slope,aspect,curvature,land_cover_code,historical_landslide_density,rainfall_1h,rainfall_3h,rainfall_6h,rainfall_12h,rainfall_24h,rainfall_3day,rainfall_7day,soil_moisture_0_7cm,soil_moisture_7_28cm,earthquake_count_7d,nearest_eq_distance_km,max_eq_magnitude,landslide_occurrence
29.0,91.5,2022-10-07,4803.0,0.84,223.8,1e-06,2.0,0.0,0.71,0.58,3.11,1.98,6.97,48.82,33.88,0.448,0.495,4,201.9,6.46,0
29.5,92.5,2021-08-16,5352.0,3.69,179.1,-9e-06,4.0,0.0,0.02,1.29,4.19,4.86,16.07,62.91,64.74,0.409,0.38,0,146.7,3.62,0
24.6005,92.3814,2010-06-03,535.5,0.72,179.1,0.0,1.0,0.0,0.3,0.3,1.0,2.4,7.1,27.3,165.8,0.442,0.45,1,418.7,4.6,1
22.5,95.5,2021-02-11,93.0,0.05,49.5,0.0,5.0,0.0,0.2,1.0,3.64,8.81,2.76,38.5,144.56,0.365,0.355,0,319.8,6.23,0
26.0,90.0,2016-11-29,36.0,0.05,247.6,0.0,1.0,0.0,0.81,1.31,2.23,0.62,8.46,32.92,81.79,0.469,0.391,4,342.4,3.46,0
24.5,88.5,2019-05-04,24.0,0.01,34.8,-0.0,5.0,0.0,0.66,0.24,3.52,2.36,8.83,67.19,137.47,0.328,0.447,5,469.3,3.39,0
29.0,90.5,2021-06-17,4445.0,0.95,41.4,4e-06,4.0,0.0204,0.47,1.65,0.62,5.98,15.48,45.61,117.67,0.31,0.296,4,220.1,2.36,0
24.0,91.0,2019-09-11,8.0,0.07,270.8,0.0,5.0,0.0204,0.15,0.14,2.91,6.95,12.18,44.56,124.98,0.342,0.433,1,39.0,0.58,0
23.0,94.0,2020-07-28,147.0,1.17,100.5,3e-06,6.0,0.0204,0.77,0.74,4.03,3.08,20.53,12.37,73.6,0.493,0.337,3,443.5,6.05,0
23.5,95.5,2010-06-07,175.0,0.32,43.1,0.0,5.0,0.0,0.61,0.17,3.8,6.44,21.49,51.46,108.96,0.398,0.442,1,493.2,1.4,0
26.9599,88.268,2009-08-16,535.5,0.72,179.1,0.0,1.0,0.0,2.5,4.3,7.8,12.8,19.5,115.5,198.8,0.423,0.425,1,716.7,5.5,1
25.0633,92.8025,2010-06-16,535.5,0.72,179.1,0.0,1.0,0.0,0.4,1.3,3.8,7.1,18.9,84.3,122.1,0.514,0.508,1,210.5,4.4,1
26.5,91.5,2023-12-15,58.0,1.61,359.5,2e-06,1.0,0.0,0.05,1.38,1.19,2.95,4.6,57.36,121.17,0.345,0.306,2,425.7,3.44,0
22.5,92.5,2011-11-05,263.0,0.83,227.1,1e-06,0.0,0.0408,0.39,0.73,1.66,6.81,20.2,69.67,34.19,0.378,0.432,5,47.6,1.63,0
24.5,95.5,2013-03-23,268.0,0.2,209.7,-0.0,2.0,0.0,0.25,0.52,5.17,2.93,9.98,8.67,63.06,0.371,0.457,4,230.3,4.1,0
28.0,94.0,2015-10-24,1741.0,1.08,354.2,-1e-06,0.0,0.0204,0.21,1.45,5.28,4.05,5.93,48.04,39.95,0.475,0.398,0,175.5,0.74,0
27.9032,96.174,2014-05-08,535.5,0.72,179.1,0.0,1.0,0.0,1.7,6.1,13.7,23.4,29.4,33.1,39.4,0.516,0.451,0,500.0,0.0,1
27.0,94.5,2018-02-27,89.0,0.63,182.0,1e-06,5.0,0.0,0.13,0.98,3.98,5.35,19.27,22.7,108.19,0.464,0.487,4,212.2,2.71,0
24.5,95.0,2019-06-09,182.0,0.24,192.3,0.0,5.0,0.0,0.24,2.18,2.43,4.95,13.41,6.8,145.1,0.299,0.386,5,38.2,2.26,0
24.5,94.0,2015-08-25,781.0,0.33,133.4,-1e-06,2.0,0.102,0.64,1.44,0.9,0.52,5.41,5.08,36.55,0.48,0.49,2,438.0,0.33,0
